Id,Designator,Package,Quantity,Designation,Supplier and ref
1,BT1,CR2032_SMD_SKST-2007D,1,Batt_RTC,
2,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C22,C24,C26,C29,C30,C31",c_0805,22,100nF,
3,"C17,C25,C23",c_2917,3,10uF/25V,
4,C18,c_2917,1,22uF/25V,
5,"C19,C20,C21",c_0805,3,1nF,
6,C27,c_2917,1,100uF/6V3,
7,C28,c_0805,1,1uF/10V,
8,D1,SOT-143,1,PRTR5V0U2X,
9,D2,LED-0805,1,LED_PWR,
10,"J24,J25",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,2,qwiic,
11,"L1,L2",r_0805,2,330E,
12,"LDR1,LDR2",r_0805_ldr_2,2,LDR,
13,P1,USB_Micro-B_seeed-320010561,1,USB_micro,
14,P2,PinSocket_1x03_P2.54mm_Horizontal,1,OUT_CLK,
15,P4,PinSocket_1x03_P2.54mm_Horizontal,1,IN_DAT,
16,P5,PinSocket_1x03_P2.54mm_Horizontal,1,IN_CLK,
17,P6,PinSocket_1x03_P2.54mm_Horizontal,1,OUT_DAT,
18,Q1,SOT-363_SC-70-6,1,DDC114TU,
19,"R1,R2,R16,R18,R22",r_0805,5,470R,
20,"R3,R6,R7,R10,R11,R12,R13,R14,R24,R25",r_0805,10,10k,
21,"R4,R5",r_0805,2,1k,
22,"R8,R9",r_0805,2,4K7,
23,"R19,R20",r_0805,2,0R NC,
24,"R21,R23",r_0805,2,0R,
25,S1,SW_SMD_311020004,1,SW-ENTER,
26,S2,SW_SMD_311020004,1,SW-INC,
27,S3,SW_SMD_311020004,1,SW-EN,
28,S4,SW_SMD_311020004,1,SW-BOOT,
29,S5,SW_SMD_311020004,1,SW-DEC,
30,S6,SW_SMD_311020004,1,SW-MODE,
31,"U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80,U81,U82,U83,U84,U85,U86,U87,U88,U89,U90,U91,U92,U93,U94,U95,U96,U97,U98,U99,U100,U101,U102,U103,U104,U105,U106,U107,U108,U109,U110,U111,U112,U113,U114,U115,U116,U117,U118,U119,U120,U121,U122,U123,U124,U125,U126,U127,U128,",APA102,128,APA102,
32,U129,esp_wroom_32,1,ESP-wroom-32,
33,U130,DS3231,1,DS3231N,
34,U131,SOT-223-3_TabPin2,1,1117-33,
35,U132,QFN-28-1EP_5x5mm_Pitch0.5mm,1,CP2102N-A01-GQFN28,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"BITE1,BITE2,BITE3,BITE4,BITE5,BITE6,BITE7",mouse-bite-0.3in-slot_OSH,7,Mouse_Bite,
,"G1,G7",Logo-WL3,2,LOGO_WL,
,"G2,G8",KiCad-Logo2_6mm_SilkScreen,2,KiCad,
,"G3,G9",OSHW_6mm,2,OSHW,
,"HB44,HB43,HB42,HB41,HB40,HB39,HB38,HB37,HB36,HB35,HB34,HB33,HB32,HB31,HB30,HB29,HB28,HB27,HB26,HB25,HB24,HB23,HB22,HB21,HB20,HB19,HB18,HB17,HB16,HB15,HB14,HB13,HB12,HB11,HB10,HB9,HB8,HB7,HB6,HB5,HB4,HB3,HB2,HB1",hole_baffle_2mm,44,hole_baffle,
,"HB45,HB46",MountingHole_3.2mm_M3,2,mtg_hole_3mm_small,
,"HB47,HB48,HB49,HB50",MountingHole_3.2mm_M3_Pad_Via,4,mtg_hole_3mm,
,"HB54,HB53,HB52,HB51",1pin,4,mtg_hole_3mm,
,"J1,J9",1pin,2,CLK_IN,
,"J2,J10",1pin,2,DAT_IN,
,"J7,J15",1pin,2,5V,
,"J8,J16",1pin,2,GND,
,J17,BreakOutPad,1,MISO,
,J18,BreakOutPad,1,3V3,
,J19,BreakOutPad,1,SCK,
,J21,BreakOutPad,1,MOSI,
,J22,BreakOutPad,1,RST,
,J23,BreakOutPad,1,GND,
,TP1,BreakOutPad,1,~RST,
,TP2,BreakOutPad,1,SQR,
,TP3,BreakOutPad,1,32kHz,
,J20,Header_ISP,1,SPI,
,JP1,R_0402,1,LED_PWR_EN,
,P3,USB-C_bout,1,USB-C_breakout,
